zipcode, count, lat, lon
78733,1,30.3315188,-97.8667182
33803,1,28.0095179,-81.9261999
37996,4,35.9433558,-83.9386991
03100,1,60.3288295,24.2815628
89147,1,36.1148054,-115.2778317
15116,1,40.5253926,-79.9472502
89146,1,36.135635,-115.2304131
36695,1,30.620114,-88.2753144
43065,2,40.1742648,-83.0898194
46038,3,39.9645049,-86.0223611
85251,1,33.4986286,-111.9224398
85250,4,33.5243639,-111.8985922
85254,2,33.6071829,-111.9403254
02190,2,42.1707499,-70.9427914
53706,3,43.1054334,-89.4269287
48377,1,42.5123116,-83.4750241
27705,1,36.025609,-78.9853813
95403,4,38.4739555,-122.7520139
92121,2,32.8981142,-117.2029363
95219,3,38.0268596,-121.5141615
70179,1,29.9919028,-90.0795843
20854,1,39.040746,-77.2290193
90232,3,34.0236878,-118.3900204
14043,2,42.9007932,-78.7079381
95827,2,38.5544039,-121.3255688
92614,1,33.6832497,-117.8340735
19047,1,40.196447,-74.9091853
15237,6,40.5569121,-80.0199562
92620,1,33.7027746,-117.7432015
33414,1,26.6374761,-80.2432839
22030,2,38.8454321,-77.3209555
22031,1,38.864187,-77.2577571
19348,2,39.8599257,-75.7255192
01867,1,42.5412689,-71.1092012
65203,1,38.8996376,-92.4406387
00969,1,18.3656552,-66.1117828
08691,1,40.215546,-74.6049061
99027,1,47.7188906,-117.1509129
87004,1,35.3180691,-106.5466221
07424,3,40.8811718,-74.2120629
39759,1,33.4776589,-88.8263006
55311,1,45.1056514,-93.4892746
56701,1,48.1129336,-96.1857655
31405,2,32.0371137,-81.1747498
39532,1,30.5007553,-88.9605365
94530,4,37.9202057,-122.2937428
95008,2,37.2770029,-121.9529992
94539,3,37.5148444,-121.9131761
94925,1,37.920558,-122.5089856
37886,1,35.7445072,-83.7942551
98225,1,48.7562157,-122.4894588
91786,3,34.1036996,-117.6610854
46601,1,41.6724038,-86.2539519
60174,1,41.9169525,-88.2947675
60076,1,42.026064,-87.7271123
66210,3,38.9193108,-94.70189
28273,2,35.1290557,-80.9539475
40580,1,38.14,-84.47
47907,3,40.4401775,-86.9261008
47906,2,40.4932743,-86.9624086
20816,1,38.9516143,-77.1197521
49331,1,42.9440633,-85.3342973
95694,1,38.5600699,-122.0155491
40067,2,38.235851,-85.3652959
92780,6,33.7372177,-117.8135579
83843,1,46.7251492,-116.9667226
75080,1,32.9481789,-96.7297205
08869,1,40.5747108,-74.6458987
50011,3,42.0288663,-93.6480307
97470,1,43.1699202,-123.2374563
97477,1,44.059912,-123.0179348
